2017-11-14 17:04:04,012 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-14 17:04:04,015 | INFO | ManagedManagementStrategy.java 191 | JMX is enabled
2017-11-14 17:04:04,163 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-11-14 17:04:04,185 | INFO | DefaultRuntimeEndpointRegistry.java 203 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
2017-11-14 17:04:04,258 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-14 17:04:04,261 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-11-14 17:04:04,262 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-11-14 17:04:04,319 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: file://data/input?noop=true
2017-11-14 17:04:04,320 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-14 17:04:04,326 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.310 seconds
2017-11-14 17:04:09,326 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-14 17:04:09,327 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2017-11-14 17:04:09,329 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2017-11-14 17:04:09,329 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-11-14 17:04:09,344 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 5.334 seconds
2017-11-14 17:04:09,344 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.018 seconds
2017-11-14 17:05:22,280 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-14 17:05:22,283 | INFO | ManagedManagementStrategy.java 191 | JMX is enabled
2017-11-14 17:05:22,443 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-11-14 17:05:22,464 | INFO | DefaultRuntimeEndpointRegistry.java 203 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
2017-11-14 17:05:22,558 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-14 17:05:22,561 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-11-14 17:05:22,562 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-11-14 17:05:22,608 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: file://data/input?noop=true
2017-11-14 17:05:22,609 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-14 17:05:22,610 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.332 seconds
2017-11-14 17:05:27,611 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-14 17:05:27,612 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2017-11-14 17:05:27,614 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2017-11-14 17:05:27,614 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-11-14 17:05:27,628 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 5.350 seconds
2017-11-14 17:05:27,628 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.016 seconds
2017-11-14 17:05:47,645 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-14 17:05:47,648 | INFO | ManagedManagementStrategy.java 191 | JMX is enabled
2017-11-14 17:05:47,799 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-11-14 17:05:47,818 | INFO | DefaultRuntimeEndpointRegistry.java 203 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
2017-11-14 17:05:47,909 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-14 17:05:47,911 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-11-14 17:05:47,911 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-11-14 17:05:47,966 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: file://data/input?noop=true
2017-11-14 17:05:47,967 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-14 17:05:47,968 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.324 seconds
2017-11-14 17:05:48,975 | INFO | CamelLogger.java 159 | Received Message is hi
Hello and Headers are {breadcrumbId=ID-elvisrocha-admix-com-br-32872-1510686347335-0-1, CamelFileAbsolute=false, CamelFileAbsolutePath=/home/work/workspaces/ESTUDOS/camel/data/input/file.txt, CamelFileLastModified=1510683106000, CamelFileLength=8, CamelFileName=file.txt, CamelFileNameConsumed=file.txt, CamelFileNameOnly=file.txt, CamelFileParent=data/input, CamelFilePath=data/input/file.txt, CamelFileRelativePath=file.txt}
2017-11-14 17:05:48,987 | INFO | CamelLogger.java 159 | Received Message is Im the second file and Headers are {breadcrumbId=ID-elvisrocha-admix-com-br-32872-1510686347335-0-3, CamelFileAbsolute=false, CamelFileAbsolutePath=/home/work/workspaces/ESTUDOS/camel/data/input/file2.txt, CamelFileLastModified=1510683130000, CamelFileLength=18, CamelFileName=file2.txt, CamelFileNameConsumed=file2.txt, CamelFileNameOnly=file2.txt, CamelFileParent=data/input, CamelFilePath=data/input/file2.txt, CamelFileRelativePath=file2.txt}
2017-11-14 17:05:52,969 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-14 17:05:52,969 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
